Time, mq2_ppm, mq4_ppm
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,2,2
0,2,2
0,2,2
0,6,3
0,16,6
0,22,10
0,28,14
0,33,17
0,37,20
0,41,23
0,45,25
0,48,27
0,50,29
0,53,30
0,55,32
0,58,34
0,60,35
0,62,37
0,64,38
0,66,39
0,68,40
0,69,40
0,71,41
0,72,41
0,74,42
0,74,42
0,76,42
0,77,43
0,77,43
0,78,43
0,79,44
0,80,44
0,81,44
0,82,44
0,82,44
0,83,44
0,84,44
0,85,45
0,86,45
0,87,45
0,88,45
0,88,46
0,89,46
0,90,46
0,91,46
0,92,46
0,92,46
0,93,46
0,94,46
0,95,46
0,96,46
0,97,46
0,97,46
0,98,46
0,99,46
0,100,46
0,101,46
0,101,46
0,102,46
0,103,46
0,104,46
0,106,46
0,107,46
0,108,46
0,109,46
0,109,46
0,110,45
0,112,45
0,113,45
0,114,45
0,115,45
0,117,45
0,118,45
0,119,45
0,119,45
0,121,44
0,122,44
0,123,44
0,125,44
0,126,44
0,128,44
0,129,44
0,131,44
0,132,44
0,134,44
0,135,44
0,135,44
0,137,44
0,140,44
0,140,44
0,142,44
0,143,44
0,145,44
0,147,44
0,149,44
0,150,44
0,152,44
0,154,44
0,156,43
0,158,43
0,158,43
0,159,43
0,161,43
0,163,43
0,165,43
0,167,43
0,169,43
0,171,43
0,174,43
0,176,43
0,176,43
0,178,43
0,180,42
0,182,42
0,185,42
0,187,42
0,187,42
0,189,42
0,191,42
0,194,42
0,196,41
0,196,41
0,199,41
0,201,41
0,204,42
0,206,41
0,206,42
0,209,42
0,212,42
0,215,42
0,215,42
0,217,42
0,223,43
0,229,44
0,232,44
0,235,44
0,238,44
0,241,44
0,244,44
0,244,44
0,248,44
0,248,44
0,251,44
0,251,44
0,251,44
0,254,44
0,261,50
0,261,43
0,265,43
0,265,43
0,265,43
0,268,43
0,268,43
0,268,43
0,272,43
0,272,43
0,272,43
0,272,43
0,276,43
0,276,43
0,279,43
0,279,42
0,279,42
0,279,42
0,279,42
0,283,42
0,283,42
0,283,41
0,287,41
0,287,41
0,287,41
0,287,41
0,291,41
0,291,41
0,291,41
0,295,41
0,295,41
0,295,41
0,295,41
0,295,40
0,295,40
0,295,40
0,295,40
0,295,40
0,299,40
0,299,40
0,299,40
0,299,40
0,299,40
0,303,40
0,303,40
0,303,40
0,303,40
0,303,40
0,303,40
0,303,40
0,303,40
0,303,40
0,303,40
0,303,40
0,303,40
0,303,41
0,303,42
0,303,42
0,303,42
0,303,42
0,303,42
0,299,42
0,299,42
0,299,42
0,295,41
0,295,41
0,295,41
0,295,41
0,295,40
0,299,40
0,295,40
0,299,40
0,299,40
0,299,40
0,299,40
0,299,40
0,299,40
0,299,40
0,303,40
0,303,40
0,303,40
0,303,39
0,303,39
0,303,39
0,303,39
0,308,39
0,308,39
0,308,39
0,308,39
0,312,39
0,312,39
0,312,39
0,312,39
0,312,39
0,316,39
0,316,39
0,316,40
0,316,39
0,321,39
0,321,40
0,321,40
0,321,40
0,325,40
0,325,40
0,325,40
0,325,40
0,325,40
0,330,40
0,330,40
0,330,40
0,330,40
0,330,40
0,335,40
0,335,40
0,335,40
0,340,40
0,340,40
0,340,40
0,340,40
0,340,40
0,345,40
0,345,40
0,345,40
0,345,40
0,350,40
0,350,40
0,350,40
0,350,40
0,355,40
0,355,40
0,355,40
0,355,40
0,355,40
0,355,40
0,360,40
0,360,40
0,360,40
0,360,40
0,365,40
0,365,39
0,365,38
0,365,38
0,365,38
0,365,38
0,365,40
0,365,39
0,365,39
0,371,40
0,365,40
0,371,40
0,376,40
0,376,40
0,376,40
0,376,39
0,376,39
0,376,39
0,382,39
0,382,38
0,382,38
0,382,38
0,382,38
0,382,38
0,382,38
0,387,38
0,387,38
0,387,38
0,387,38
0,387,39
0,387,39
0,393,39
0,387,39
0,393,39
0,393,39
0,393,39
0,393,39
0,399,39
0,399,39
0,399,39
0,399,39
0,399,39
0,399,39
0,399,39
0,405,39
0,405,39
0,405,39
0,405,39
0,405,40
0,405,40
0,405,40
0,411,40
0,411,40
0,411,40
0,411,40
0,411,40
0,411,40
0,418,40
0,418,40
0,418,40
0,418,40
0,418,40
0,418,40
0,424,40
0,424,40
0,418,40
0,424,40
0,424,40
0,424,40
0,424,40
0,424,40
0,431,40
0,431,40
0,424,40
0,431,40
0,431,40
0,431,40
0,431,40
0,431,40
0,437,40
0,431,40
0,437,40
0,437,40
0,437,40
0,437,40
0,437,40
0,437,40
0,444,40
0,444,40
0,444,40
0,444,40
0,444,40
0,444,40
0,444,40
0,444,40
0,451,38
0,451,38
0,451,39
0,451,38
0,458,38
0,451,38
0,458,39
0,458,40
0,458,40
0,458,40
0,465,40
0,465,40
0,465,40
0,465,40
0,465,41
0,465,41
0,465,40
0,473,40
0,465,41
0,465,41
0,465,41
0,465,40
0,465,40
0,473,40
0,465,41
0,473,41
0,473,40
0,473,40
0,473,41
0,473,40
0,473,40
0,473,40
0,473,41
0,473,41
0,473,41
0,473,41
0,473,41
0,473,41
0,473,41
0,480,41
0,480,40
0,480,40
0,480,40
0,480,40
0,480,40
0,480,40
0,488,40
0,480,40
0,480,40
0,480,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,40
0,488,39
0,488,39
0,496,39
0,488,39
0,496,39
0,496,39
0,496,39
0,496,39
0,496,39
0,496,39
0,496,39
0,496,40
0,496,39
0,504,40
0,504,40
0,504,40
0,504,40
0,504,40
0,504,40
0,504,40
0,504,40
0,504,40
0,504,40
0,504,40
0,504,40
0,504,40
0,504,40
0,512,40
0,512,40
0,512,40
0,512,40
0,512,40
0,512,40
0,520,40
0,520,40
0,520,40
0,520,40
0,520,40
0,520,40
0,520,40
0,520,40
0,520,40
0,520,40
0,520,40
0,528,40
0,528,40
0,528,40
0,528,40
0,537,40
0,528,40
0,528,40
0,537,40
0,537,40
0,537,40
